Sample-#, CA-V, CB-V
0,0.00485513,0.004843877
5.00E-06,0.00485513,0.004921919
1.00E-05,0.004776993,0.004765836
1.50E-05,0.004933268,0.004765836
2.00E-05,0.00485513,0.004921919
2.50E-05,0.00485513,0.004843877
3.00E-05,0.00485513,0.004843877
3.50E-05,0.004776993,0.004843877
4.00E-05,0.004698855,0.004843877
4.50E-05,0.00485513,0.004765836
5.00E-05,0.00485513,0.004921919
5.50E-05,0.004776993,0.004843877
6.00E-05,0.004776993,0.004765836
6.50E-05,0.00485513,0.004843877
7.00E-05,0.004776993,0.004687794
7.50E-05,0.004698855,0.004843877
8.00E-05,0.004776993,0.004765836
8.50E-05,0.00485513,0.004765836
9.00E-05,0.004776993,0.004843877
9.50E-05,0.004698855,0.004765836
0.0001,0.78834039,0.049561746
0.000105,1.826944828,0.35244143
0.00011,1.980016232,0.684040427
0.000115,1.995487452,0.951723337
0.00012,1.997753501,1.159860373
0.000125,1.998222351,1.321016431
0.00013,1.998691082,1.445883036
0.000135,1.998847365,1.542732716
0.00014,1.99908185,1.617886901
0.000145,1.99908185,1.676183939
0.00015,1.999316216,1.721448183
0.000155,1.999238133,1.756644964
0.00016,1.999394417,1.784115553
0.000165,1.999394417,1.80557704
0.00017,1.999472499,1.822277904
0.000175,1.999394417,1.835388899
0.00018,1.999472499,1.845534325
0.000185,1.999394417,1.853572607
0.00019,1.9995507,1.859894037
0.000195,1.999472499,1.864810705
0.0002,1.9995507,1.868712783
0.000205,1.999472499,1.871834397
0.00021,1.9995507,1.874331713
0.000215,1.999472499,1.876126647
0.00022,1.999706864,1.877687573
0.000225,1.999472499,1.879014254
0.00023,1.9995507,1.880028725
0.000235,1.9995507,1.880809188
0.00024,1.999628782,1.881433487
0.000245,1.999628782,1.881901741
0.00025,1.999785066,1.882369995
0.000255,1.9995507,1.882760286
0.00026,1.999628782,1.883072376
0.000265,1.999628782,1.88322854
0.00027,1.999706864,1.883462667
0.000275,1.999706864,1.883618712
0.00028,1.999785066,1.883774757
0.000285,1.999628782,1.883852839
0.00029,1.999706864,1.883852839
0.000295,1.999628782,1.884086967
0.0003,1.222003818,1.836871743
0.000305,0.216139078,1.54554224
0.00031,0.031734448,1.21714294
0.000315,0.006261606,0.946806669
0.00032,0.002511004,0.735625982
0.000325,0.002042178,0.571582377
0.00033,0.003761204,0.444842756
0.000335,0.005480231,0.347212642
0.00034,0.005323955,0.27151224
0.000345,0.005245818,0.212980971
0.00035,0.005245818,0.167404652
0.000355,0.005245818,0.132051781
0.00036,0.005089543,0.104503073
0.000365,0.005245818,0.083041623
0.00037,0.005011405,0.066496789
0.000375,0.005089543,0.053385787
0.00038,0.004933268,0.043318413
0.000385,0.005011405,0.035280123
0.00039,0.005089543,0.029036792
0.000395,0.005089543,0.024198208
0.0004,0.005011405,0.020218084
0.000405,0.005011405,0.017408585
0.00041,0.005011405,0.014833209
0.000415,0.004933268,0.012882167
0.00042,0.005011405,0.011477417
0.000425,0.005011405,0.010150709
0.00043,0.005011405,0.009214209
0.000435,0.005011405,0.008433793
0.00044,0.00485513,0.007887502
0.000445,0.004933268,0.007263169
0.00045,0.004933268,0.00687296
0.000455,0.004933268,0.006638835
0.00046,0.00485513,0.006248627
0.000465,0.004933268,0.006092544
0.00047,0.004933268,0.005858419
0.000475,0.004776993,0.005702335
0.00048,0.00485513,0.005546252
0.000485,0.004776993,0.005546252
0.00049,0.00485513,0.005234085
0.000495,0.004933268,0.005390169
0.0005,0.788965523,0.049951956
0.000505,1.828429461,0.352987736
0.00051,1.980719447,0.684742808
0.000515,1.995721936,0.952347636
0.00052,1.997909784,1.160406709
0.000525,1.998378634,1.321562648
0.00053,1.998847365,1.44635129
0.000535,1.999003649,1.543122888
0.00054,1.999159932,1.618198991
0.000545,1.999238133,1.676418066
0.00055,1.999394417,1.721604228
0.000555,1.999316216,1.756879091
0.00056,1.999394417,1.784271717
0.000565,1.999394417,1.805733085
0.00057,1.999472499,1.822355986
0.000575,1.999472499,1.835466981
0.00058,1.999394417,1.845690489
0.000585,1.999394417,1.853650689
0.00059,1.9995507,1.859894037
0.000595,1.999472499,1.86496675
0.0006,1.9995507,1.868868828
0.000605,1.999472499,1.871912479
0.00061,1.999706864,1.874409795
0.000615,1.999472499,1.876204729
0.00062,1.9995507,1.877765536
0.000625,1.999472499,1.879014254
0.00063,1.999628782,1.880028725
0.000635,1.9995507,1.880809188
0.00064,1.999628782,1.881511569
0.000645,1.999472499,1.881979823
0.00065,1.999706864,1.882448077
0.000655,1.9995507,1.882760286
0.00066,1.999706864,1.883072376
0.000665,1.9995507,1.883306503
0.00067,1.999706864,1.883462667
0.000675,1.999628782,1.883696675
0.00068,1.999706864,1.883774757
0.000685,1.9995507,1.883930802
0.00069,1.999785066,1.883930802
0.000695,1.999628782,1.884008884
0.0007,1.221925735,1.836793661
0.000705,0.21621722,1.545464158
0.00071,0.031890724,1.217064857
0.000715,0.006339744,0.946884751
0.00072,0.002511004,0.7355479
0.000725,0.002120316,0.571660459
0.00073,0.003839342,0.444920808
0.000735,0.005558368,0.34713459
0.00074,0.005480231,0.271590263
0.000745,0.00516768,0.212980971
0.00075,0.00516768,0.167404652
0.000755,0.00516768,0.132051781
0.00076,0.005011405,0.104503073
0.000765,0.005089543,0.083197705
0.00077,0.005089543,0.066574834
0.000775,0.005089543,0.053463828
0.00078,0.005089543,0.043318413
0.000785,0.004933268,0.035202082
0.00079,0.005011405,0.029036792
0.000795,0.005089543,0.024042126
0.0008,0.004933268,0.020296127
0.000805,0.004933268,0.017252501
0.00081,0.005089543,0.01491125
0.000815,0.005011405,0.01296021
0.00082,0.004933268,0.011399376
0.000825,0.005011405,0.010228751
0.00083,0.005011405,0.009214209
0.000835,0.004933268,0.008433793
0.00084,0.004933268,0.00780946
0.000845,0.004933268,0.007185127
0.00085,0.00485513,0.006951002
0.000855,0.004933268,0.006560794
0.00086,0.00485513,0.006248627
0.000865,0.004933268,0.006014502
0.00087,0.004933268,0.005780377
0.000875,0.00485513,0.005702335
0.00088,0.004933268,0.005624294
0.000885,0.004933268,0.00546821
0.00089,0.00485513,0.005390169
0.000895,0.004933268,0.005312127
0.0009,0.788574815,0.049951956
0.000905,1.828194976,0.352831632
0.00091,1.980719447,0.684508681
0.000915,1.995721936,0.952269614
0.00092,1.997909784,1.160328627
0.000925,1.998456717,1.321484685
0.00093,1.998847365,1.446429372
0.000935,1.998925567,1.543122888
0.00094,1.999159932,1.618198991
0.000945,1.99908185,1.676340103
0.00095,1.999394417,1.72168231
0.000955,1.999394417,1.756879091
0.00096,1.999316216,1.78434968
0.000965,1.999394417,1.805655122
0.00097,1.9995507,1.822434068
0.000975,1.999316216,1.835388899
0.00098,1.999628782,1.845612407
0.000985,1.999472499,1.853650689
