Time, CA-V, CB-V 
0.006, 0.082, 0.001  
0.011, 0.081, 0.001  
0.057, 0.081, 0.001  
0.064, 0.080, 0.001  
0.068, 0.080, 0.001  
0.111, 0.080, 0.001  
0.116, 0.080, 0.001  
0.164, 0.079, 0.001  
0.169, 0.079, 0.001  
0.174, 0.079, 0.001  
0.215, 0.079, 0.001  
0.219, 0.079, 0.001  
0.275, 0.078, 0.001  
0.280, 0.078, 0.001  
0.285, 0.078, 0.001  
0.335, 0.078, 0.001  
0.340, 0.078, 0.001  
0.368, 0.077, 0.001  
0.373, 0.077, 0.001  
0.378, 0.077, 0.001  
0.420, 0.077, 0.001  
0.424, 0.077, 0.001  
0.429, 0.077, 0.001  
0.473, 0.076, 0.001  
0.478, 0.076, 0.001  
0.520, 0.076, 0.001  
0.525, 0.076, 0.001  
0.531, 0.076, 0.001  
0.571, 0.076, 0.001  
0.579, 0.076, 0.001  
0.622, 0.075, 0.001  
0.636, 0.075, 0.001  
0.657, 0.075, 0.001  
0.668, 0.075, 0.001  
0.674, 0.075, 0.001  
0.724, 0.075, 0.001  
0.729, 0.075, 0.001  
0.733, 0.074, 0.001  
0.778, 0.074, 0.001  
0.784, 0.074, 0.001  
0.826, 0.074, 0.001  
0.833, 0.074, 0.001  
0.838, 0.074, 0.001  
0.881, 0.073, 0.001  
0.886, 0.073, 0.001  
0.891, 0.073, 0.001  
0.932, 0.073, 0.001  
0.936, 0.073, 0.001  
0.986, 0.073, 0.001  
0.992, 0.073, 0.001  
0.998, 0.073, 0.001  
1.035, 0.072, 0.001  
1.039, 0.072, 0.001  
1.084, 0.072, 0.001  
1.089, 0.072, 0.001  
1.094, 0.072, 0.001  
1.136, 0.072, 0.001  
1.141, 0.072, 0.001  
1.186, 0.071, 0.001  
1.191, 0.071, 0.001  
1.195, 0.071, 0.001  
1.238, 0.071, 0.001  
1.242, 0.071, 0.001  
1.249, 0.071, 0.001  
1.287, 0.071, 0.001  
1.300, 0.070, 0.001  
1.338, 0.070, 0.001  
1.343, 0.070, 0.001  
1.347, 0.070, 0.001  
1.390, 0.070, 0.001  
1.397, 0.070, 0.001  
1.441, 0.070, 0.001  
1.448, 0.070, 0.001  
1.454, 0.069, 0.001  
1.494, 0.069, 0.001  
1.499, 0.069, 0.001  
1.545, 0.069, 0.001  
1.551, 0.069, 0.001  
1.556, 0.069, 0.001  
1.593, 0.069, 0.001  
1.600, 0.069, 0.001  
1.653, 0.068, 0.001  
1.657, 0.068, 0.001  
1.664, 0.068, 0.001  
1.701, 0.068, 0.001  
1.706, 0.068, 0.001  
1.711, 0.068, 0.001  
1.753, 0.068, 0.001  
1.757, 0.068, 0.001  
1.798, 0.067, 0.001  
1.802, 0.067, 0.001  
1.808, 0.067, 0.001  
1.852, 0.067, 0.001  
1.856, 0.067, 0.001  
1.901, 0.067, 0.001  
1.908, 0.067, 0.001  
1.913, 0.067, 0.001  
1.957, 0.066, 0.001  
1.968, 0.066, 0.001  
2.006, 0.066, 0.001  
2.011, 0.066, 0.001  
2.017, 0.066, 0.001  
2.055, 0.066, 0.001  
2.060, 0.066, 0.001  
2.105, 0.066, 0.001  
2.111, 0.065, 0.001  
2.116, 0.065, 0.001  
2.157, 0.065, 0.001  
2.163, 0.065, 0.001  
2.169, 0.065, 0.001  
2.212, 0.065, 0.001  
2.216, 0.065, 0.001  
2.263, 0.065, 0.001  
2.269, 0.065, 0.001  
2.275, 0.064, 0.001  
2.321, 0.064, 0.001  
2.326, 0.064, 0.001  
2.364, 0.064, 0.001  
2.372, 0.064, 0.001  
2.378, 0.064, 0.001  
2.416, 0.064, 0.001  
2.420, 0.064, 0.001  
2.466, 0.063, 0.001  
2.470, 0.063, 0.001  
2.474, 0.063, 0.001  
2.519, 1.201, 0.014  
2.538, 4.985, 0.001  
2.767, 4.986, 0.001  
2.771, 4.986, 0.001  
2.775, 4.986, 0.001  
2.780, 4.986, 0.001  
2.792, 4.986, 0.001  
2.797, 4.986, 0.001  
2.803, 4.986, 0.001  
2.807, 4.986, 0.001  
2.812, 4.986, 0.001  
2.890, 4.986, 0.001  
2.933, 4.986, 0.001  
2.937, 4.986, 0.001  
2.944, 4.986, 0.001  
2.949, 4.985, 0.001  
2.964, 4.986, 0.001  
2.968, 4.986, 0.001  
2.972, 4.986, 0.001  
2.982, 4.986, 0.001  
3.015, 4.986, 0.001  
3.020, 4.986, 0.001  
3.028, 4.986, 0.001  
3.044, 4.986, 0.001  
3.080, 4.986, 0.001  
3.086, 4.986, 0.001  
3.091, 4.986, 0.001  
3.139, 4.986, 0.001  
3.145, 4.986, 0.001  
3.185, 4.986, 0.001  
3.191, 4.986, 0.001  
3.195, 4.986, 0.001  
3.236, 4.986, 0.001  
3.240, 4.986, 0.001  
3.244, 4.986, 0.001  
3.291, 4.986, 0.001  
3.306, 4.986, 0.001  
3.338, 4.986, 0.001  
3.345, 4.986, 0.001  
3.349, 4.986, 0.001  
3.386, 4.986, 0.001  
3.394, 4.986, 0.001  
3.438, 4.986, 0.001  
3.443, 4.986, 0.001  
3.447, 4.986, 0.001  
3.493, 4.986, 0.001  
3.499, 4.986, 0.001  
3.540, 4.986, 0.001  
3.545, 4.986, 0.001  
3.549, 4.986, 0.001  
3.590, 4.986, 0.001  
3.596, 4.986, 0.001  
3.652, 4.986, 0.001  
3.656, 4.986, 0.001  
3.662, 4.986, 0.001  
3.700, 4.986, 0.001  
3.705, 4.986, 0.001  
3.710, 4.986, 0.001  
3.747, 4.986, 0.001  
3.752, 4.986, 0.001  
3.799, 4.986, 0.001  
3.803, 4.986, 0.001  
3.808, 4.986, 0.001  
3.850, 4.986, 0.001  
3.854, 4.986, 0.001  
3.899, 4.986, 0.001  
3.904, 4.986, 0.001  
3.909, 4.986, 0.001  
3.953, 4.986, 0.001  
3.958, 4.986, 0.001  
4.005, 4.986, 0.001  
4.010, 4.986, 0.001  
4.014, 4.986, 0.001  
4.055, 4.986, 0.001  
4.060, 4.986, 0.001  
4.066, 4.986, 0.001  
4.104, 4.986, 0.001  
4.109, 4.986, 0.001  
4.153, 4.986, 0.001  
4.158, 4.986, 0.001  
4.164, 4.986, 0.001  
4.210, 4.986, 0.001  
4.215, 4.986, 0.001  
4.262, 4.986, 0.001  
4.267, 4.986, 0.001  
4.272, 4.986, 0.001  
4.318, 4.986, 0.001  
4.324, 4.986, 0.001  
4.368, 4.986, 0.001  
4.373, 4.986, 0.001  
4.378, 4.986, 0.001  
4.412, 4.986, 0.001  
4.416, 4.986, 0.001  
4.465, 4.986, 0.001  
4.469, 4.986, 0.001  
4.477, 4.986, 0.001  
4.518, 4.986, 0.001  
4.522, 4.986, 0.001  
4.528, 4.986, 0.001  
4.581, 4.986, 0.001  
4.585, 4.986, 0.001  
4.635, 4.986, 0.001  
4.644, 4.986, 0.001  
4.651, 4.986, 0.001  
4.665, 4.986, 0.001  
4.669, 4.986, 0.001  
4.720, 4.986, 0.001  
4.726, 4.986, 0.001  
4.730, 4.986, 0.001  
4.771, 4.986, 0.001  
4.776, 4.986, 0.001  
4.823, 4.986, 0.001  
4.828, 4.986, 0.001  
4.835, 4.986, 0.001  
4.872, 4.986, 0.001  
4.878, 4.986, 0.001  
4.921, 4.986, 0.001  
4.927, 4.986, 0.001  
4.931, 4.986, 0.001  
4.984, 4.986, 0.001  
4.989, 4.986, 0.001  
4.995, 4.986, 0.001  
5.027, 4.986, 0.001  
5.031, 4.986, 0.001  
5.080, 4.986, 0.001  
5.084, 4.986, 0.001  
5.092, 4.986, 0.001  
5.129, 4.986, 0.001  
5.135, 4.986, 0.001  
